k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
2,1,Gender|Race,NonBinary|Latino,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
2,10,Gender|Seniority,Woman|Senior,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,100,Domain|Priority,Embedded|SecurityPriority,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,101,Domain|Standard,DevOps|SecurityGatePassed,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
2,102,Domain|Module,Embedded|APIModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,103,Priority|Standard,Portability|MergeApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
2,104,Priority|Module,SecurityPriority|AuthenticationModule,50.0,0.0,0.52,1.0,0.04,0.0769,0.88
2,105,Standard|Module,MergeApproved|FrontendUIModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,11,Gender|Domain,Woman|Embedded,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,12,Gender|Priority,TwoSpirit|Testability,50.0,0.0,0.5,0.5,0.16,0.2424,0.86
2,13,Gender|Standard,PreferNotToSay|PeerApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,14,Gender|Module,Demigender|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
2,15,Race|Ethnicity,MiddleEasternOrNorthAfrican|OtherMixed,50.0,0.0,0.52,0.6,0.12,0.2,0.92
2,16,Race|Nationality,NativeHawaiian|Russian,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
2,17,Race|Culture,White|FrenchCulture,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,18,Race|NativeLanguage,NativeHawaiian|KoreanLang,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,19,Race|AgeRange,MiddleEasternOrNorthAfrican|MiddleAged,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,2,Gender|Ethnicity,Demigender|BlackCaribbean,50.0,0.0,0.48,0.4286,0.12,0.1875,0.88
2,20,Race|ReviewStyle,MiddleEasternOrNorthAfrican|Concise,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
2,21,Race|Role,White|Reviewer,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
2,22,Race|Goal,White|FastDelivery,50.0,0.0,0.44,0.2857,0.08,0.125,0.96
2,23,Race|Seniority,Asian|Staff,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,24,Race|Domain,White|Embedded,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
2,25,Race|Priority,White|Scalability,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,26,Race|Standard,MiddleEasternOrNorthAfrican|MergeApproved,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
2,27,Race|Module,MiddleEasternOrNorthAfrican|AuthenticationModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,28,Ethnicity|Nationality,AsianBangladeshi|Danish,50.0,0.0,0.5,0.5,0.12,0.1935,0.86
2,29,Ethnicity|Culture,WhiteIrish|IndianCulture,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
2,3,Gender|Nationality,PreferNotToSay|Danish,50.0,0.0,0.54,0.75,0.12,0.2069,0.9
2,30,Ethnicity|NativeLanguage,WhiteIrish|EnglishLang,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
2,31,Ethnicity|AgeRange,OtherMixed|YoungAdult,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,32,Ethnicity|ReviewStyle,BlackCaribbean|Nitpicky,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,33,Ethnicity|Role,BlackCaribbean|CodeOwner,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
2,34,Ethnicity|Goal,BlackCaribbean|WellTestedCode,50.0,0.0,0.42,0.25,0.08,0.1212,0.9
2,35,Ethnicity|Seniority,BlackCaribbean|Senior,50.0,0.0,0.44,0.2,0.04,0.0667,0.88
2,36,Ethnicity|Domain,BlackCaribbean|PlatformEng,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,37,Ethnicity|Priority,BlackCaribbean|Testability,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
2,38,Ethnicity|Standard,WhiteIrish|MergeApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,39,Ethnicity|Module,AsianChinese|FrontendUIModule,50.0,0.0,0.5,0.5,0.24,0.3243,0.86
2,4,Gender|Culture,TwoSpirit|ThaiCulture,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,40,Nationality|Culture,Danish|IndianCulture,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
2,41,Nationality|NativeLanguage,Russian|GermanLang,50.0,0.0,0.48,0.3333,0.04,0.0714,0.96
2,42,Nationality|AgeRange,Russian|YoungAdult,50.0,0.0,0.46,0.25,0.04,0.069,0.9
2,43,Nationality|ReviewStyle,Danish|Supportive,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
2,44,Nationality|Role,Danish|QAChecker,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,45,Nationality|Goal,Saudi|WellTestedCode,50.0,0.0,0.5,0.5,0.2,0.2857,0.9
2,46,Nationality|Seniority,Saudi|Senior,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,47,Nationality|Domain,Ethiopian|DevOps,50.0,0.0,0.5,0.5,0.2,0.2857,0.9
2,48,Nationality|Priority,Austrian|Scalability,50.0,0.0,0.46,0.0,0.0,,0.94
2,49,Nationality|Standard,Danish|SecurityGatePassed,50.0,0.0,0.48,0.0,0.0,,0.88
2,5,Gender|NativeLanguage,NonBinary|PolishLang,50.0,0.0,0.5,0.5,0.16,0.2424,0.9
2,50,Nationality|Module,Danish|APIModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,51,Culture|NativeLanguage,GermanCulture|EnglishLang,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
2,52,Culture|AgeRange,GermanCulture|Elderly,50.0,0.0,0.44,0.3333,0.12,0.1765,0.88
2,53,Culture|ReviewStyle,ThaiCulture|Concise,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,54,Culture|Role,ThaiCulture|Reviewer,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,55,Culture|Goal,IndianCulture|MaintainableCode,50.0,0.0,0.44,0.3636,0.16,0.2222,0.84
2,56,Culture|Seniority,IndianCulture|Senior,50.0,0.0,0.48,0.4545,0.2,0.2778,0.84
2,57,Culture|Domain,FrenchCulture|Mobile,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
2,58,Culture|Priority,GermanCulture|Portability,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,59,Culture|Standard,FrenchCulture|StyleGuideFollowed,50.0,0.0,0.48,0.4286,0.12,0.1875,0.84
2,6,Gender|AgeRange,NonBinary|LateCareerAdult,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
2,60,Culture|Module,FrenchCulture|AuthenticationModule,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,61,NativeLanguage|AgeRange,EnglishLang|Aged,50.0,0.0,0.44,0.3333,0.12,0.1765,0.92
2,62,NativeLanguage|ReviewStyle,PolishLang|Concise,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
2,63,NativeLanguage|Role,TeluguLang|Triager,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,64,NativeLanguage|Goal,GermanLang|WellTestedCode,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,65,NativeLanguage|Seniority,TeluguLang|Junior,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
2,66,NativeLanguage|Domain,EnglishLang|PlatformEng,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,67,NativeLanguage|Priority,GermanLang|Testability,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,68,NativeLanguage|Standard,TeluguLang|PeerApproved,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,69,NativeLanguage|Module,PolishLang|APIModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,7,Gender|ReviewStyle,PreferNotToSay|Collaborative,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,70,AgeRange|ReviewStyle,MiddleAged|Concise,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
2,71,AgeRange|Role,LateCareerAdult|SoftwareReviewer,50.0,0.0,0.52,0.6,0.12,0.2,0.88
2,72,AgeRange|Goal,Elderly|MaintainableCode,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,73,AgeRange|Seniority,Aged|Mid,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
2,74,AgeRange|Domain,Elderly|Embedded,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,75,AgeRange|Priority,Elderly|Portability,50.0,0.0,0.52,0.6667,0.08,0.1429,0.92
2,76,AgeRange|Standard,LateCareerAdult|PeerApproved,50.0,0.0,0.52,0.6,0.12,0.2,0.88
2,77,AgeRange|Module,Aged|APIModule,50.0,0.0,0.52,0.6667,0.08,0.1429,0.92
2,78,ReviewStyle|Role,Collaborative|CodeOwner,50.0,0.0,0.52,0.6,0.12,0.2,0.92
2,79,ReviewStyle|Goal,Concise|ReadableCode,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,8,Gender|Role,TwoSpirit|SoftwareReviewer,50.0,0.0,0.44,0.2857,0.08,0.125,0.96
2,80,ReviewStyle|Seniority,Collaborative|Mid,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,81,ReviewStyle|Domain,Supportive|DevOps,50.0,0.0,0.5,0.5,0.08,0.1379,0.86
2,82,ReviewStyle|Priority,Supportive|Performance,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,83,ReviewStyle|Standard,Collaborative|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
2,84,ReviewStyle|Module,BigPicture|UserProfileModule,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,85,Role|Goal,QAChecker|WellDocumentedCode,50.0,0.0,0.54,0.625,0.2,0.303,0.9
2,86,Role|Seniority,CodeOwner|Intern,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,87,Role|Domain,Triager|Backend,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
2,88,Role|Priority,SoftwareReviewer|Testability,50.0,0.0,0.5,0.5,0.16,0.2424,0.9
2,89,Role|Standard,Reviewer|PeerApproved,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,9,Gender|Goal,PreferNotToSay|MaintainableCode,50.0,0.0,0.5,0.5,0.16,0.2424,0.94
2,90,Role|Module,CodeOwner|DatabaseModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.98
2,91,Goal|Seniority,FastDelivery|Staff,50.0,0.0,0.52,0.6,0.12,0.2,0.92
2,92,Goal|Domain,MaintainableCode|Embedded,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,93,Goal|Priority,FastDelivery|Testability,50.0,0.0,0.4,0.1429,0.04,0.0625,0.92
2,94,Goal|Standard,ReadableCode|SecurityGatePassed,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
2,95,Goal|Module,MaintainableCode|AuthenticationModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,96,Seniority|Domain,Senior|DevOps,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
2,97,Seniority|Priority,Senior|Scalability,50.0,0.0,0.54,0.6667,0.16,0.2581,0.9
2,98,Seniority|Standard,Staff|PeerApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,99,Seniority|Module,Intern|AuthenticationModule,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
